codigo,geometry
2549017,POINT (-49.1467 -25.5192)
2549017,POINT (-49.1467 -25.5192)
2549061,POINT (-49.5258 -25.855)
2549061,POINT (-49.5258 -25.855)
2549093,POINT (-49.51 -25.5992)
2549093,POINT (-49.51 -25.5992)
2549101,POINT (-49.2667 -25.4333)
2549104,POINT (-49.7667 -25.7833)
2549105,POINT (-49.7961 -25.9439)
2549106,POINT (-49.8894 -25.5481)
2549113,POINT (-49.0408 -25.4892)
2549120,POINT (-49.35 -25.6167)
2549122,POINT (-49.6333 -25.6)
2549124,POINT (-49.2594 -25.5986)
2549127,POINT (-49.3197 -25.4633)
2549128,POINT (-49.3289 -25.3219)
2549129,POINT (-49.2661 -25.3867)
2549130,POINT (-49.1028 -25.6622)
2549133,POINT (-49.2281 -25.5892)
2549136,POINT (-49.298 -25.31)
2549137,POINT (-49.308 -25.312)
2549138,POINT (-49.246 -25.343)
2549139,POINT (-49.301 -25.259)
2549140,POINT (-49.28 -25.344)
2549141,POINT (-49.308 -25.371)
2549142,POINT (-49.273 -25.327)
2549143,POINT (-49.267 -25.316)
2549144,POINT (-49.3887 -25.5954)
2549145,POINT (-49.3813 -25.5433)
2549147,POINT (-49.109 -25.356)
2549149,POINT (-49.684 -25.9797)
2549150,POINT (-49.1892 -25.3612)
2549151,POINT (-49.3616 -25.4112)
2549152,POINT (-49.2553 -25.3528)
2549153,POINT (-49.3011 -25.4136)
2549154,POINT (-49.2956 -25.3802)
2549155,POINT (-49.2456 -25.3792)
2549156,POINT (-49.3328 -25.382)
2549157,POINT (-49.3426 -25.4179)
2549158,POINT (-49.1978 -25.3848)
2549159,POINT (-49.3502 -25.4354)
2549160,POINT (-49.2842 -25.5552)
2549161,POINT (-49.288 -25.4877)
2549164,POINT (-49.19 -25.394)
2549165,POINT (-49.18 -25.4)
2549166,POINT (-49.193 -25.4)
2549167,POINT (-49.199 -25.438)
2549168,POINT (-49.176 -25.431)
2549169,POINT (-49.165 -25.442)
2549170,POINT (-49.187 -25.462)
2549171,POINT (-49.147 -25.46)
2549172,POINT (-49.058 -25.472)
2549173,POINT (-49.101 -25.45)
2549177,POINT (-49.1819 -25.6739)
2549178,POINT (-49.1561 -25.5481)
2549179,POINT (-49.1689 -25.6061)
2549180,POINT (-49.1961 -25.55)
2549181,POINT (-49.1481 -25.4839)
2549182,POINT (-49.0911 -25.5369)
2549183,POINT (-49.18 -25.5031)
2549184,POINT (-49.2061 -25.5339)
2549185,POINT (-49.1214 -25.4506)
2549186,POINT (-49.3883 -25.4272)
2549187,POINT (-49.1811 -25.4856)
2549188,POINT (-49.2508 -25.4631)
2549189,POINT (-49.2142 -25.5239)
2549190,POINT (-49.8747 -25.5436)
2549191,POINT (-49.7908 -25.5711)
2549192,POINT (-49.6314 -25.6014)
2550069,POINT (-50.3894 -25.8756)
2550073,POINT (-50.0928 -25.9867)
2551008,POINT (-51.4414 -25.5325)
2551015,POINT (-51.4956 -25.3656)
2551054,POINT (-51.2886 -25.8075)
2551055,POINT (-51.5 -25.35)
2551059,POINT (-51.9553 -25.6436)
2551060,POINT (-52.0031 -25.7042)
2551063,POINT (-51.9275 -25.2406)
2551064,POINT (-51.4364 -25.3992)
2551065,POINT (-51.4364 -25.3989)
2551066,POINT (-51.6358 -25.4528)
2551067,POINT (-51.493 -25.401)
2551068,POINT (-51.4334 -25.3556)
2551069,POINT (-51.6622 -25.6617)
2551070,POINT (-51.4939 -25.3847)
2551071,POINT (-51.9625 -25.6492)
2551072,POINT (-51.4883 -25.5458)
2551073,POINT (-51.7378 -25.4878)
2551074,POINT (-51.6531 -25.6119)
2551075,POINT (-51.8158 -25.5353)
2551076,POINT (-51.3853 -25.3847)
2551077,POINT (-51.7864 -25.5044)
2552002,POINT (-52.8522 -25.9206)
2552002,POINT (-52.8522 -25.9206)
2552009,POINT (-52.435 -25.3978)
2552030,POINT (-52.5269 -25.86)
2552055,POINT (-52.1139 -25.7747)
2552056,POINT (-52.9244 -25.7739)
2552057,POINT (-52.1147 -25.7883)
2552058,POINT (-52.0906 -25.7675)
2552061,POINT (-52.2292 -25.5086)
2552062,POINT (-52.0261 -25.3811)
2552063,POINT (-52.785 -25.9972)
2552064,POINT (-52.8192 -25.9922)
2552065,POINT (-52.5634 -25.9801)
2552067,POINT (-52.5373 -25.3094)
2552068,POINT (-52.6174 -25.6916)
2552069,POINT (-52.74 -25.4103)
2552070,POINT (-52.6158 -25.6283)
2552071,POINT (-52.0872 -25.7542)
2552072,POINT (-52.8631 -25.8831)
2552073,POINT (-52.2156 -25.4878)
2552074,POINT (-52.1683 -25.9736)
2552075,POINT (-52.1614 -25.9797)
2552076,POINT (-52.9067 -25.8058)
2552077,POINT (-52.9014 -25.8181)
2553052,POINT (-52.9844 -25.6822)
2553062,POINT (-53.1039 -25.3939)
2553065,POINT (-53.1133 -25.5711)
2553066,POINT (-53.2672 -25.5828)
2553068,POINT (-53.4844 -25.5419)
2553069,POINT (-53.3631 -25.5225)
2553077,POINT (-53.0536 -25.7496)
2649016,POINT (-49.6036 -26.2156)
2649016,POINT (-49.6036 -26.2156)
2649073,POINT (-49.3806 -26.1547)
2649074,POINT (-49.8011 -26.1097)
2649098,POINT (-49.781 -26.085)
2649099,POINT (-49.8 -26.089)
2649100,POINT (-49.776 -26.118)
2649135,POINT (-49.9067 -26.3014)
2649146,POINT (-49.806 -26.114)
2649155,POINT (-49.496 -26.229)
2649156,POINT (-49.509 -26.261)
2649163,POINT (-49.4103 -26.2297)
2650026,POINT (-50.3333 -26.0914)
2650027,POINT (-50.5925 -26.0192)
2650028,POINT (-50.7283 -26.5875)
2650029,POINT (-50.8833 -26.2833)
2650030,POINT (-50.8783 -26.3839)
2650037,POINT (-50.8883 -26.4631)
2650038,POINT (-50.8344 -26.4406)
2650039,POINT (-50.6761 -26.6144)
2650040,POINT (-50.7283 -26.5936)
2650041,POINT (-50.8122 -26.4597)
2650042,POINT (-50.9861 -26.4472)
2650043,POINT (-50.3944 -26.1747)
2650044,POINT (-50.8037 -26.2395)
2650045,POINT (-50.2374 -26.4533)
2650046,POINT (-50.1428 -26.4107)
2650054,POINT (-50.6761 -26.6122)
2651000,POINT (-51.0803 -26.2281)
2651053,POINT (-51.65 -26.0833)
2651054,POINT (-51.8797 -26.0931)
2651055,POINT (-51.6647 -26.0094)
2651056,POINT (-51.1419 -26.0306)
2651057,POINT (-51.2719 -26.3867)
2651058,POINT (-51.2281 -26.1653)
2651059,POINT (-51.0803 -26.2281)
2651076,POINT (-51.317 -26.428)
2651077,POINT (-51.0689 -26.2319)
2651078,POINT (-51.1 -26.2511)
2651079,POINT (-51.084 -26.236)
2651082,POINT (-51.8739 -26.1239)
2652042,POINT (-52.6833 -26.1167)
2652048,POINT (-52.6281 -26.0289)
2652063,POINT (-52.7939 -26.01)
2652065,POINT (-52.713 -26.234)
2652066,POINT (-52.683 -26.267)
2652067,POINT (-52.692 -26.198)
2652068,POINT (-52.673 -26.228)
2652082,POINT (-52.175 -26.0411)
2652083,POINT (-52.9331 -26.0389)
2652093,POINT (-52.9222 -26.0617)
2652096,POINT (-52.9481 -26.0956)
2653010,POINT (-53.0667 -26.0833)
2653059,POINT (-53.0592 -26.0447)
2653060,POINT (-53.0731 -26.0686)
2653067,POINT (-53.0569 -26.0736)
2653069,POINT (-53.0739 -26.0817)
2653069,POINT (-53.0739 -26.0817)
